"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2315E1108245M","2023-04-02","G","appartement",NA,25,"Légère","19 Rue des Forgerons 15000 Aurillac","15000","15014","84","15",656300.04,6425764.53,109.4,"moyenne",13751.6,550,"Gaz naturel",1163.2,"Gaz naturel",NA
"2315E1365846F","2023-04-24","E","maison",NA,97,"Moyenne","35 Rue Pierre Crémont 15000 Aurillac","15000","15014","84","15",655150.73,6423072.36,227.5,"bonne",27747.7,286,"Électricité",1770,"Électricité",NA
"2315E1245849Y","2023-04-13","E","maison",NA,60.5,"Légère","5 Chemin de Montcamp 15250 Jussac","15250","15083","84","15",654440.74,6431637.98,140,"très bonne",19931,329,"Électricité",1347.5,"Électricité",NA
"2315E1416995M","2023-04-26","G","maison",NA,109.2,"Moyenne","8 Rue des Coquelicots 15800 Polminhac","15800","15154","84","15",666196.24,6427452.42,505.1,"insuffisante",40770.9,373,"Fioul domestique",3769.5,"Fioul domestique",NA
"2315E1504566P","2023-04-19","E","appartement",NA,66.8,"Moyenne","22 Rue du Lieutenant Basset 15400 Riom-ès-Montagnes","15400","15162","84","15",673000.17,6464947.09,111.8,"insuffisante",20013.8,299.7,"Électricité",1463,"Électricité",NA
"2315E1324056X","2023-04-19","F","appartement",NA,48.5,"Légère","12 Rue Raymond Cortat 15000 Aurillac","15000","15014","84","15",655514.14,6423723.74,147.7,"insuffisante",16624.4,342,"Réseau de Chauffage urbain",1306.6,"Réseau de Chauffage urbain",NA
"2315E1117264J","2023-04-03","D","appartement",NA,68.4,"Lourde","4bis Rue du Marechal Ney 15000 Aurillac","15000","15014","84","15",655304.57,6424226.94,223.6,"insuffisante",16362.1,239.3,"Réseau de Chauffage urbain",1341,"Réseau de Chauffage urbain",NA
"2315E1212557M","2023-04-11","C","maison",NA,172,"Légère","23 Route de Milly 15130 Arpajon-sur-Cère","15130","15012","84","15",653859,6421594.88,268.4,"très bonne",30522.6,177,"Électricité",2146.5,"Électricité",NA
"2315E1279142L","2023-04-17","G","maison",NA,84.1,"Lourde","12 Rue Duguesclin 15100 Saint-Flour","15100","15187","84","15",708298.58,6437568.78,380.2,"insuffisante",38008.2,452,"Fioul domestique",3504.3,"Fioul domestique",NA
"2315E1373886L","2023-04-24","F","maison",NA,80,"Légère","8 Place de la Fontbelle 15290 Le Rouget-Pers","15290","15268","84","15",639835.67,6420932.93,210.5,"bonne",28839,360,"Électricité",1974.7,"Électricité",NA
"2315E1193007O","2023-04-05","G","maison",NA,116,"Moyenne","23 Rue Jean Vilar 15000 Aurillac","15000","15014","84","15",654196.8,6423725.95,484.1,"insuffisante",54354,468.5,"Électricité",3834,"Électricité",NA
"2315E1171686N","2023-04-06","G","appartement",NA,57,"Moyenne","20 Rue Alfred Durand 15400 Riom-ès-Montagnes","15400","15162","84","15",673088.43,6464943.04,209.8,"insuffisante",25628.5,449,"Fioul domestique",2350.2,"Fioul domestique",NA
"2315E1197448J","2023-04-10","E","appartement",NA,49.5,"Très lourde","17 Chemin de Berthou 15000 Aurillac","15000","15014","84","15",655475.42,6424391.1,177,"moyenne",15714.3,317,"Réseau de Chauffage urbain",1248.7,"Réseau de Chauffage urbain",NA
"2315E1147872P","2023-04-03","D","maison",NA,120,"Légère","2 Route de Londos Borados 15220 Roannes-Saint-Mary","15220","15163","84","15",651335.87,6418506.7,234.3,"bonne",28154,234,"Électricité",1867,"Électricité",NA
"2315E1240965C","2023-04-13","G","maison",NA,112.6,"Lourde","38 Rue du Thuile Haut 15100 Saint-Flour","15100","15187","84","15",707335.28,6436959.27,564.5,"insuffisante",65454.6,581,"Fioul domestique",4853.3,"Fioul domestique",NA
"2315E1349529Q","2023-04-23","G","maison",NA,237,"Moyenne","9 Faubourg de la Terre Vermeille 15160 Allanche","15160","15001","84","15",694794.81,6459010.65,1008.4,"insuffisante",148495.3,626,"Électricité",10379,"Électricité",NA
"2315E1203140H","2023-04-10","E","maison",NA,125.1,"Lourde","7 Rue Duguesclin 15100 Saint-Flour","15100","15187","84","15",708196.29,6437564.31,372.3,"moyenne",35598.6,284,"Fioul domestique",3240.2,"Fioul domestique",NA
"2315E1367006V","2023-04-24","F","maison",NA,94,"Légère","13 Allée de la Gravière 15210 Ydes","15210","15265","84","15",655488.2,6471862.85,418.7,"insuffisante",33098.1,352,"Fioul domestique",3036.3,"Fioul domestique",NA
"2315E1236432T","2023-04-12","C","appartement",NA,36.9,"Très lourde","35 Boulevard du Pont Rouge 15000 Aurillac","15000","15014","84","15",656467.48,6425473.69,34.3,"très bonne",6320,171,"Électricité",539,"Électricité",NA
"2315E1279999K","2023-04-16","C","appartement",NA,116.5,"Légère","9 Avenue du Stade 15600 Maurs","15600","15122","84","15",636778.99,6401151.15,201.6,"bonne",10422.6,89.4,"Gaz naturel",1012,"Gaz naturel",NA
"2315E1194561I","2023-04-10","D","maison",NA,133,"Légère","21 Rue des Cours de Vialle 15250 Crandelles","15250","15056","84","15",648887.02,6429009,240.1,"très bonne",29713.6,223,"Électricité",1965.8,"Électricité",NA
"2315E1192818H","2023-04-05","G","maison",NA,116,"Moyenne","23 Rue Jean Vilar 15000 Aurillac","15000","15014","84","15",654196.8,6423725.95,455.4,"insuffisante",51270.7,441.9,"Électricité",3620,"Électricité",NA
"2315E1391261S","2023-04-25","C","maison",NA,86,"Lourde","30 Rue Marie Aimée Méraville 15100 Saint-Flour","15100","15187","84","15",707796.54,6437399.98,111.2,"bonne",15458.1,179.7,"Électricité",1151,"Électricité",NA
"2315E1353966H","2023-04-18","G","maison",NA,102.5,"Légère","51 Grand Rue 15190 Condat","15190","15054","84","15",681238.01,6471171.95,335.3,"insuffisante",45745,446.2,"Électricité",2845,"Électricité",NA
"2315E1165527Q","2023-04-06","E","maison",NA,77,"Moyenne","2 Communal de Verlhac 15200 Mauriac","15200","15120","84","15",649876.58,6457193.96,196.4,"bonne",24820.1,322,"Électricité",1688.8,"Électricité",NA
"2315E1217731M","2023-04-11","G","appartement",NA,29.9,"Lourde","38 Rue du 11 Novembre 15000 Aurillac","15000","15014","84","15",655908.01,6423616.75,122,"moyenne",16723.6,560,"Fioul domestique",1549.2,"Fioul domestique",NA
